Current Procedural Terminology (CPT®) codes, descriptions, and other data are
copyright 1966, 1970, 1973, 1977, 1981, 1983-2024 by the American
Medical Association. All rights reserved.

CPT® is a registered trademark of the American Medical Association.

U.S. GOVERNMENT RIGHTS. CPT is commercial technical data
developed exclusively at the private expense by the American
Medical Association, 330 N. Wabash Ave., Suite 39300,
Chicago, IL 60611-5885. Use does not grant the Federal Government
a direct license to use CPT based on FAR 52.227-14 (Data Rights – General)
and DFARS 252.227-7015 (Technical Data Commercial Items).

This file may not be sold, duplicated, or given
away in whole or in part without the express written
consent of the American Medical Association.

To license additional CPT® products or to request a license
for the distribution of products with CPT® content, visit our website at
https://www.ama-assn.org/practice-management/cpt/ama-cpt-licensing-overview,
or purchase other CPT® products, contact customer service at 800-621-8335.

For the most current CPT® coding information, to learn about the early release
of CPT® codes, and to review the CPT® Errata to bring yourself up to date on corrections,
please visit https://www.ama-assn.org/practice-management/errata-technical-corrections.

Concept Id	CPT Code	Long	Medium	Short	Consumer	Spanish Consumer	Current Descriptor Effective Date	Test Name	Lab Name	Manufacturer Name
1013745	99304	Initial nursing facility care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and straightforward or low level of medical decision making. When using total time on the date of the encounter for code selection, 25 minutes must be met or exceeded.	INITIAL NURSING FACILITY CARE SF/LOW MDM 25 MIN	1ST NF CARE SF/LOW MDM 25	Initial nursing facility care with straightforward or low level of medical decision making, per day, if using time, at least 25 minutes	Cuidados iniciales en un centro de enfermería, con un nivel mínimo o bajo de toma de decisiones médicas, por día, si consume tiempo, al menos 25 minutos	20230101			
1013746	99305	Initial nursing facility care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 35 minutes must be met or exceeded.	INITIAL NURSING FACILITY CARE MOD MDM 35 MINUTES	1ST NF CARE MODERATE MDM 35	Initial nursing facility care with moderate level of medical decision making, per day, if using time, at least 35 minutes	Cuidados iniciales en un centro de enfermería, con un nivel moderado de toma de decisiones médicas, por día, si consume tiempo, al menos 35 minutos	20230101			
1013747	99306	Initial nursing facility care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 50 minutes must be met or exceeded.	INITIAL NURSING FACILITY CARE HI MDM 50 MINUTES	1ST NF CARE HIGH MDM 50	Initial nursing facility care with high level of medical decision making, per day, if using time, 50 minutes or more	Atención inicial en hogar de ancianos, con un nivel elevado de toma de decisiones médicas, por día, si consume tiempo, 50 minutos o más	20240101			
1013749	99307	Subsequent nursing facility care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selection, 10 minutes must be met or exceeded.	SBSQ NURSING FACILITY CARE SF MDM 10 MINUTES	SBSQ NF CARE SF MDM 10	Subsequent nursing facility care with straightforward level of medical decision making, per day, if using time, at least 10 minutes	Cuidados posteriores en un centro de enfermería, con un nivel mínimo de toma de decisiones médicas, por día, si consume tiempo, al menos 10 minutos	20230101			
1013750	99308	Subsequent nursing facility care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selection, 20 minutes must be met or exceeded.	SBSQ NURSING FACILITY CARE LOW MDM 20 MINUTES	SBSQ NF CARE LOW MDM 20	Subsequent nursing facility care with straightforward level of medical decision making, per day, if using time, 20 minutes or more	Cuidados posteriores en un centro de enfermería, con un nivel mínimo de toma de decisiones médicas, por día, si consume tiempo, 20 minutos o más	20240101			
1013751	99309	Subsequent nursing facility care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded.	SBSQ NURSING FACILITY CARE MOD MDM 30 MINUTES	SBSQ NF CARE MODERATE MDM 30	Subsequent nursing facility care with moderate level of medical decision making, per day, if using time, at least 30 minutes	Cuidados posteriores en un centro de enfermería, con un nivel moderado de toma de decisiones médicas, por día, si consume tiempo, al menos 30 minutos	20230101			
1013752	99310	Subsequent nursing facility care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 45 minutes must be met or exceeded.	SBSQ NURSING FACILITY CARE HIGH MDM 45 MINUTES	SBSQ NF CARE HIGH MDM 45	Subsequent nursing facility care with high level of medical decision making, per day, if using time, at least 45 minutes	Cuidados posteriores en un centro de enfermería, con un nivel elevado de toma de decisiones médicas, por día, si consume tiempo, al menos 45 minutos	20230101			
1013755	99315	Nursing facility discharge management; 30 minutes or less total time on the date of the encounter	NURSING FACILITY DSCHRG MGMT 30 MIN/< TOT TIME	NF DSCHRG MGMT 30 MIN/LESS	Nursing facility discharge day management, 30 minutes or less	Gestión del día del alta de un centro de enfermería, 30 minutos o menos	20230101			
1013756	99316	Nursing facility discharge management; more than 30 minutes total time on the date of the encounter	NURSING FACILITY DSCHRG MGMT 30 MIN+ TOT TIME	NF DSCHRG MGMT 30 MIN+	Nursing facility discharge management, more than 30 minutes	Gestión del alta de un centro de enfermería, más de 30 minutos	20230101			
1013777	99341	Home or residence visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selection, 15 minutes must be met or exceeded.	HOME/RES VISIT NEW PATIENT SF MDM 15 MINUTES	HOME/RES VST NEW SF MDM 15	Residence visit for new patient with straightforward medical decision making, per day, if using time, at least 15 minutes	Visita a domicilio a un paciente nuevo, con un nivel mínimo de toma de decisiones médicas, por día, si consume tiempo, al menos 15 minutos	20230101			
1013779	99342	Home or residence visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded.	HOME/RES VISIT NEW PATIENT LOW MDM 30 MINUTES	HOME/RES VST NEW LOW MDM 30	Residence visit for new patient with low level of medical decision making, per day, if using time, at least 30 minutes	Visita a domicilio a un paciente nuevo, con un nivel bajo de toma de decisiones médicas, por día, si consume tiempo, al menos 30 minutos	20230101			
1013783	99344	Home or residence visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 60 minutes must be met or exceeded.	HOME/RES VISIT NEW PATIENT MOD MDM 60 MINUTES	HOME/RES VST NEW MOD MDM 60	Residence visit for new patient with moderate level of medical decision making, per day, if using time, at least 60 minutes	Visita a domicilio a un paciente nuevo, con un nivel moderado de toma de decisiones médicas, por día, si consume tiempo, al menos 60 minutos	20230101			
1013785	99345	Home or residence visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 75 minutes must be met or exceeded.	HOME/RES VISIT NEW PATIENT HIGH MDM 75 MINUTES	HOME/RES VST NEW HIGH MDM 75	Residence visit for new patient with high level of medical decision making, per day, if using time, at least 75 minutes	Visita a domicilio a un paciente nuevo, con un nivel elevado de toma de decisiones médicas, por día, si consume tiempo, al menos 75 minutos	20230101			
1013788	99347	Home or residence visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the encounter for code selection, 20 minutes must be met or exceeded.	HOME/RES VISIT EST PATIENT SF MDM 20 MINUTES	HOME/RES VST EST SF MDM 20	Residence visit for established patient with straightforward medical decision making, per day, if using time, at least 15 minutes	Visita a domicilio a un paciente establecido, con un nivel mínimo de toma de decisiones médicas, por día, si consume tiempo, al menos 15 minutos	20230101			
1013790	99348	Home or residence visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code selection, 30 minutes must be met or exceeded.	HOME/RES VISIT EST PATIENT LOW MDM 30 MINUTES	HOME/RES VST EST LOW MDM 30	Residence visit for established patient with low level of medical decision making, per day, if using time, at least 30 minutes	Visita a domicilio a un paciente establecido, con un nivel bajo de toma de decisiones médicas, por día, si consume tiempo, al menos 30 minutos	20230101			
1013792	99349	Home or residence visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounter for code selection, 40 minutes must be met or exceeded.	HOME/RES VISIT EST PATIENT MOD MDM 40 MINUTES	HOME/RES VST EST MOD MDM 40	Residence visit for established patient with moderate level of medical decision making, per day, if using time, at least 40 minutes	Visita a domicilio a paciente establecido, con un nivel moderado de toma de decisiones médicas, por día, si consume tiempo, al menos 40 minutos	20230101			
1013794	99350	Home or residence visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the encounter for code selection, 60 minutes must be met or exceeded.	HOME/RES VISIT EST PATIENT HIGH MDM 60 MINUTES	HOME/RES VST EST HIGH MDM 60	Residence visit for established patient with high level of medical decision making, per day, if using time, at least 60 minutes	Visita a domicilio a un paciente establecido, con un nivel elevado de toma de decisiones médicas, por día, si consume tiempo, al menos 60 minutos	20230101			
